band,name,instrument
"Exponents","Jordan Luck","Vocals"
"Exponents","Michael \"Harry\" Haralambi","Drums"
"Exponents","David Gent","Bass"
"Exponents","Brian Jones","Guitar"
"1814","Patu Colbert","Guitar"
"1814","Shane Colbert","Drums"
"1814","Jim Colbert","Bass"
"1814","Darren Katene","Lead Vocals"
"1814","Erana Jones","Keyboards"
"1814","Chris Pierce","Saxaphone"
"1814","Ernie Semu","Keyboards"
"1814","Neihana Mackey-Harrison","Vocals"
"1814","Rukuwai Allen","Vocals"
"Ardijah","Ryan 'Captain Fonk' Monga","Drums"
"Ardijah","Betty-Anne","Lead Vocals"
"Ardijah","Rico Tali","Guitar"
"Ardijah","Michael Hanson","Keyboards"
"Ardijah","Kaitapu Monga","Bass"
"Barnaby Weir","Barnaby Weir","All instruments"
"Jordan Luck Band","Jordan Luck","Vocals"
"Jordan Luck Band","Bryan Bell","Guitar"
"Jordan Luck Band","Beaver","Drums"
"Jordan Luck Band","Rich Mixture","Bass"
"Jordan Luck Band","Joe Walsh","Guitar"